brand_id,brand_name,brand_tier,created_at,description,is_active,parent_company,website_url,year_established
1,Bella Vista,Premium,2023-06-15 18:19:44,"Score each cause. Quality throughout beautiful instead.
Despite measure ago current.",True,,https://lee.com/,1981
2,Urban Thread,Value,2021-01-27 09:37:49,"Herself law street class. Decide environment view possible participant commercial.
Left establish understand read. Range successful simply director allow.",True,,http://www.henderson.info/,2019
3,Coastal Chic,Fast Fashion,2022-12-26 09:34:57,"Team activity result race Mr environment political. Fall citizen about reveal.
Seven medical blood personal success medical current. Several much single morning a food.
Upon these story film.",False,Hickman Ltd,http://carney-santos.info/,1961
4,Metro Style,Contemporary,2024-07-23 22:48:50,Building different full open discover detail audience. Arrive attack all form method everything magazine much. Office drug list imagine behind probably great.,True,,http://www.kidd.com/,1953
5,Classic Craft,Luxury,2021-06-10 19:17:51,Loss ten total clearly able hospital unit. Expect recent room situation product main couple. Why often my security arm.,True,,https://smith.org/,2019
6,Modern Muse,Luxury,2021-02-27 18:20:28,"Defense enter value thing these hard citizen. Region particularly would pressure account stage federal.
Enough threat score choice. Painting response data plant enough.",True,,http://www.johnson.biz/,1985
7,Sunset Styles,Luxury,2021-04-11 10:17:00,"Half value win always group.
Government nice themselves wind. Understand door class son.
Agent say forward us soon ten. Environment skin blue the teach.",True,Rasmussen LLC,https://zavala.com/,1970
8,City Casual,Fast Fashion,2024-06-18 21:07:54,"Oil worker although others. Rock finish paper memory history office.
Remember ability understand. Rather vote say culture issue we TV.",True,,http://jackson.org/,1969
9,Elite Edge,Contemporary,2022-02-28 03:29:38,Pull different current agency each. Particularly shoulder lay though offer responsibility himself.,True,,https://briggs.net/,1963
10,Vintage Vibe,Fast Fashion,2022-08-19 03:38:03,"Late seem style everyone sing machine dream. Back experience even floor music catch.
Really relationship ask imagine my indeed. Strategy hope show watch affect.",True,,http://elliott.com/,1994
11,Fresh Fashion,Luxury,2024-06-03 01:19:51,"Anyone here deep force. Everything week instead strong like see. Yourself glass practice.
Wear current after.
Call prove nor design record. Cold parent security boy standard who.",True,,https://hunter.com/,2008
12,Bold Basics,Value,2024-05-07 05:14:42,Black whether player stock religious itself safe. Pattern try simple let stay. Environmental system store beautiful think during let particular.,True,,https://schmidt.com/,1998
13,Luxe Label,Fast Fashion,2022-03-25 23:13:01,"Fill discover return firm sea. Course school everybody operation. Others wonder strategy fast guess few remain.
Animal approach factor want point. Bill activity expect long future whole education.",False,,http://kerr-evans.org/,1996
14,Street Smart,Premium,2022-07-23 14:42:18,Perform participant science way debate decision produce. Dream necessary choose impact.,True,,https://george.com/,1955
15,Pure Elegance,Luxury,2023-04-21 06:50:45,"Before while structure. Onto again share start office several compare.
Trouble consider one play man before. Impact fly bit claim in many. Spend nearly lawyer fire follow wife.",True,,https://www.russell.com/,1960
16,Trend Tribe,Luxury,2022-09-12 06:47:39,"Marriage respond meeting event. Woman during necessary himself two meet these.
Significant take future skin environment. Executive fear only.",True,,http://martinez.com/,1998
17,Style Studio,Premium,2024-06-07 11:32:52,"Between treat address century that wide. Light wide full realize.
System teacher here first responsibility service. Along attention piece TV young section its.",True,,http://www.miller.org/,1996
18,Fashion Forward,Contemporary,2023-08-22 15:52:23,"Tree central leave effect effort act source. Quality citizen kid generation onto.
Lead few yourself table blood. Occur offer yeah far within probably. Account ten sing wind treat.",True,,http://www.buchanan.net/,1984
19,Chic Collection,Premium,2022-11-13 23:02:04,Either station loss southern. Sound life away senior difficult put.,True,,https://davis.com/,1959
20,Mode Moderne,Premium,2022-05-22 04:32:12,Provide sea watch industry score choice. Pressure street past voice evidence real. Kitchen wear talk between rate.,True,"Robinson, Kane and Murphy",http://www.garrison-thomas.com/,1981
21,Bella Vista 2,Contemporary,2023-01-12 15:27:43,"Body term capital group. Open administration enter camera inside.
Live sing message board. Develop past road training probably feeling poor.
Your suggest international blue.",True,,http://beasley-gutierrez.info/,2021
22,Urban Thread 2,Luxury,2022-06-06 20:30:31,"Fine fine effort well. Attack story behavior benefit school speech news. What no prove improve them wait institution trouble.
Outside goal official defense prevent.",True,,http://white.com/,1957
23,Coastal Chic 2,Premium,2024-08-27 00:10:44,Accept thank not husband center plan. Begin most heavy. Game have return since nothing be apply.,True,Joyce-Brown,http://saunders.com/,1990
24,Metro Style 2,Premium,2022-02-17 04:03:29,"Market issue can. Region matter street south author technology amount.
Tv television office of remember individual boy.
Commercial way least ready gun join.",True,Bell-Mullen,http://www.thomas.com/,2022
25,Classic Craft 2,Premium,2023-04-19 05:49:55,"Concern significant management senior. Large under north play person ten physical character.
Kind field ever argue medical financial later. Hard expert popular within.",True,,https://www.lucas.info/,2013
26,Modern Muse 2,Fast Fashion,2022-12-18 13:27:42,City health executive impact full our smile positive. Form newspaper hit edge. Their four old center glass whose recognize hot.,True,,http://jenkins.com/,2008
27,Sunset Styles 2,Luxury,2022-08-16 11:41:53,Sell six doctor dream whole. Tough create question now key show sing. Month whom stage soon catch economic political. Never bill suffer surface expect several.,True,Vang-Brooks,http://combs.com/,2021
28,City Casual 2,Contemporary,2024-02-06 19:34:43,Although true line story. Large accept bad eight strong nature road.,True,,http://ashley.net/,2004
29,Elite Edge 2,Contemporary,2024-01-30 02:20:48,After them analysis hit health section ground. General run pick sign. Card good full poor store range.,True,,https://paul-kline.biz/,1978
30,Vintage Vibe 2,Luxury,2022-03-06 02:58:17,"Reality happen something entire bar interesting issue. Nation fly bag produce.
Owner international ready goal amount thank good. Ever woman way avoid point guy.",True,Reyes-Bradley,http://watson-hines.org/,2013
31,Fresh Fashion 2,Contemporary,2021-04-27 08:24:56,Huge power economic box save material. Trial brother simple region Democrat partner. Customer career available common require young specific.,True,,https://www.henson.info/,1969
32,Bold Basics 2,Luxury,2022-12-21 02:07:28,Statement available win politics last quite. Campaign stop necessary onto should can. Treat area buy check clearly follow remember.,True,,https://www.butler.net/,2004
33,Luxe Label 2,Luxury,2021-12-19 10:30:43,"Each southern image law read citizen indeed. Daughter parent fine responsibility safe team wish.
Middle blood drop business last cell. Face his past.",True,,http://www.wagner-levy.com/,2009
34,Street Smart 2,Value,2023-03-20 15:24:53,Anything manager think. Experience account blue care enough hand idea. Hundred now crime.,True,,http://flores.com/,1951
35,Pure Elegance 2,Value,2023-04-05 18:25:46,"Stock mother remember feel staff happy purpose. On someone rise read ago listen. Officer return on color pick people subject challenge.
Occur red course. Finish charge real improve simple turn.",True,"Becker, Lara and Baker",https://www.ramirez.com/,2018
36,Trend Tribe 2,Fast Fashion,2021-12-31 18:38:42,"Real major look night various. Explain of myself time house.
Fact explain research get. Pretty section degree still even no. Case past only drug prove.",True,,http://www.butler.com/,1993
37,Style Studio 2,Premium,2024-04-16 10:41:05,Control see the face also fear owner. Expect writer myself management voice surface. Evening speak former room possible responsibility add.,True,,http://ward.info/,2008
38,Fashion Forward 2,Luxury,2022-01-15 01:20:22,Rather type thousand show real police. Happen determine whatever long lawyer.,False,,https://www.griffin.biz/,1972
39,Chic Collection 2,Contemporary,2022-09-05 01:27:05,"Next pull final against. Staff second official and general. Must art thus worry.
Expert conference career. Hear through large true help bag. Card team budget year hotel camera without.",True,Patel-Morrow,http://moore-lopez.com/,1988
40,Mode Moderne 2,Premium,2020-11-14 11:55:06,She this administration deal beyond almost our reflect. Each analysis keep. Describe tell argue mean eye staff rule.,True,,https://evans.net/,1975
41,Bella Vista 3,Luxury,2022-10-01 00:49:52,"Feeling remain south trip none. Newspaper care drug data position two.
Movie stop appear help. Owner them could seven right next look thank. Field training deep couple scientist section.",True,,http://www.thomas.org/,2019
42,Urban Thread 3,Premium,2023-10-18 22:45:38,Charge form here street material. Either start whom politics make collection. College result major true my politics.,True,,https://smith.biz/,1950
43,Coastal Chic 3,Luxury,2020-10-13 20:36:22,"Reveal movie expert maybe recently issue vote.
Truth modern drive people. Spring environment however health image.
Wrong difficult range summer president. Behavior here need. Pm reflect bar suddenly.",True,,https://www.allen.net/,1964
44,Metro Style 3,Value,2022-02-22 18:33:17,So ready bad seat. Approach join stuff future shoulder western. Why for plant situation late direction.,True,,http://www.jordan.net/,1989
45,Classic Craft 3,Premium,2022-11-30 11:56:58,Ago government behavior our. Tell activity including single right nice. Occur college herself catch feeling.,True,Jordan-Colon,http://morrison-dominguez.info/,2022
46,Modern Muse 3,Contemporary,2022-01-26 12:22:18,"Why fact reason make office drug. Exactly skill half usually customer young.
Agree road wall decide something story attorney. Pull cause field education child institution.",True,"Williams, Terrell and Byrd",https://rodriguez-garcia.com/,2012
47,Sunset Styles 3,Premium,2022-11-27 18:09:36,Oil offer knowledge hospital sign open matter. Young lot far turn beat story. Give gas six miss.,True,,http://www.sandoval.com/,2018
48,City Casual 3,Contemporary,2022-08-24 20:08:28,Home relate day sell speak artist. Son Mr hand culture. Energy television month police. Home hotel box goal leader common purpose song.,True,"Simpson, Cohen and Perry",https://miller.com/,2010
49,Elite Edge 3,Contemporary,2021-12-23 04:40:16,"Different eye sit not significant.
Member of environmental myself yard my series. National wrong bill stop seem fear. Last give stage.",True,"Carter, Armstrong and Farley",http://www.sellers-riddle.com/,2017
50,Vintage Vibe 3,Luxury,2023-09-20 01:50:46,"Chair focus easy such hotel. Officer environmental increase later.
Middle everything view hard wear force. Than suggest behavior.",True,,http://www.alexander.biz/,1977
